Antibody,Virus,Reference,Pubmed ID,IC50,IC80,ID50
10E8-19fH/10fL,PVO_4,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.19,,
10E8-19fH/10fL,Q168_A2,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.699,,
10E8-19fH/10fL,Q23_17,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.645,,
10E8-19fH/10fL,Q769_H5,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.13,,
10E8-19fH/10fL,THRO4156,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.043,,
10E8-19fH/10fL,TRJO4551_58,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.06,,
10E8-19fH/10fL,TRO_11,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.015,,
10E8-19fH/10fL,YU2,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.4,,
10E8-19fH/10fL,ZA012_29,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.16,,
10E8-19fH/10fL,ZM106_9,Georgiev et al. J Immunol 192:1100 (2014),24391217,>50,,
10E8-19fH/10fL,ZM55_28A,Georgiev et al. J Immunol 192:1100 (2014),24391217,3.3,,
10E8-19fH/16fL,6101_1,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.006,,
10E8-19fH/16fL,92RW020_2,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.05,,
10E8-19fH/16fL,BAL_01,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.263,,
10E8-19fH/16fL,BG1168_1,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.267,,
10E8-19fH/16fL,CAAN5342,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.585,,
10E8-19fH/16fL,DU156_12,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.022,,
10E8-19fH/16fL,DU422_1,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.119,,
10E8-19fH/16fL,JRCSF,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.146,,
10E8-19fH/16fL,JRFL,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.292,,
10E8-19fH/16fL,KER2018_11,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.62,,
10E8-19fH/16fL,PVO_4,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.37,,
10E8-19fH/16fL,Q168_A2,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.685,,
10E8-19fH/16fL,Q23_17,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.631,,
10E8-19fH/16fL,Q769_H5,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.292,,
10E8-19fH/16fL,THRO4156,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.05,,
10E8-19fH/16fL,TRJO4551_58,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.644,,
10E8-19fH/16fL,TRO_11,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.021,,
10E8-19fH/16fL,YU2,Georgiev et al. J Immunol 192:1100 (2014),24391217,2.09,,
10E8-19fH/16fL,ZA012_29,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.524,,
10E8-19fH/16fL,ZM106_9,Georgiev et al. J Immunol 192:1100 (2014),24391217,>50,,
10E8-19fH/16fL,ZM55_28A,Georgiev et al. J Immunol 192:1100 (2014),24391217,2.035,,
10E8-2fH/0fL,6101_1,Georgiev et al. J Immunol 192:1100 (2014),24391217,3.82,,
10E8-2fH/0fL,92RW020_2,Georgiev et al. J Immunol 192:1100 (2014),24391217,22.1,,
10E8-2fH/0fL,BAL_01,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.27,,
10E8-2fH/0fL,BG1168_1,Georgiev et al. J Immunol 192:1100 (2014),24391217,2.15,,
10E8-2fH/0fL,CAAN5342,Georgiev et al. J Immunol 192:1100 (2014),24391217,>50,,
10E8-2fH/0fL,DU156_12,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.263,,
10E8-2fH/0fL,DU422_1,Georgiev et al. J Immunol 192:1100 (2014),24391217,2.75,,
10E8-2fH/0fL,JRCSF,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.749,,
10E8-2fH/0fL,JRFL,Georgiev et al. J Immunol 192:1100 (2014),24391217,5.11,,
10E8-2fH/0fL,KER2018_11,Georgiev et al. J Immunol 192:1100 (2014),24391217,>50,,
10E8-2fH/0fL,PVO_4,Georgiev et al. J Immunol 192:1100 (2014),24391217,9.2,,
10E8-2fH/0fL,Q168_A2,Georgiev et al. J Immunol 192:1100 (2014),24391217,16.7,,
10E8-2fH/0fL,Q23_17,Georgiev et al. J Immunol 192:1100 (2014),24391217,22.4,,
10E8-2fH/0fL,Q769_H5,Georgiev et al. J Immunol 192:1100 (2014),24391217,>50,,
10E8-2fH/0fL,THRO4156,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.281,,
10E8-2fH/0fL,TRJO4551_58,Georgiev et al. J Immunol 192:1100 (2014),24391217,23.8,,
10E8-2fH/0fL,TRO_11,Georgiev et al. J Immunol 192:1100 (2014),24391217,3.32,,
10E8-2fH/0fL,YU2,Georgiev et al. J Immunol 192:1100 (2014),24391217,14.5,,
10E8-2fH/0fL,ZA012_29,Georgiev et al. J Immunol 192:1100 (2014),24391217,5.52,,
10E8-2fH/0fL,ZM106_9,Georgiev et al. J Immunol 192:1100 (2014),24391217,>50,,
10E8-2fH/0fL,ZM55_28A,Georgiev et al. J Immunol 192:1100 (2014),24391217,22.1,,
10E8-2fH/10fL,6101_1,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.056,,
10E8-2fH/10fL,92RW020_2,Georgiev et al. J Immunol 192:1100 (2014),24391217,2.49,,
10E8-2fH/10fL,BAL_01,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.326,,
10E8-2fH/10fL,BG1168_1,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.41,,
10E8-2fH/10fL,CAAN5342,Georgiev et al. J Immunol 192:1100 (2014),24391217,6.29,,
10E8-2fH/10fL,DU156_12,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.032,,
10E8-2fH/10fL,DU422_1,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.195,,
10E8-2fH/10fL,JRCSF,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.552,,
10E8-2fH/10fL,JRFL,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.02,,
10E8-2fH/10fL,KER2018_11,Georgiev et al. J Immunol 192:1100 (2014),24391217,3.66,,
10E8-2fH/10fL,PVO_4,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.41,,
10E8-2fH/10fL,Q168_A2,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.57,,
10E8-2fH/10fL,Q23_17,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.88,,
10E8-2fH/10fL,Q769_H5,Georgiev et al. J Immunol 192:1100 (2014),24391217,2.7,,
10E8-2fH/10fL,THRO4156,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.078,,
10E8-2fH/10fL,TRJO4551_58,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.83,,
10E8-2fH/10fL,TRO_11,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.099,,
10E8-2fH/10fL,YU2,Georgiev et al. J Immunol 192:1100 (2014),24391217,4.55,,
10E8-2fH/10fL,ZA012_29,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.821,,
10E8-2fH/10fL,ZM106_9,Georgiev et al. J Immunol 192:1100 (2014),24391217,>50,,
10E8-2fH/10fL,ZM55_28A,Georgiev et al. J Immunol 192:1100 (2014),24391217,3.26,,
10E8-2fH/4fL,6101_1,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.379,,
10E8-2fH/4fL,92RW020_2,Georgiev et al. J Immunol 192:1100 (2014),24391217,>50,,
10E8-2fH/4fL,BAL_01,Georgiev et al. J Immunol 192:1100 (2014),24391217,3.12,,
10E8-2fH/4fL,BG1168_1,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.02,,
10E8-2fH/4fL,CAAN5342,Georgiev et al. J Immunol 192:1100 (2014),24391217,31.7,,
10E8-2fH/4fL,DU156_12,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.133,,
10E8-2fH/4fL,DU422_1,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.05,,
10E8-2fH/4fL,JRCSF,Georgiev et al. J Immunol 192:1100 (2014),24391217,3.24,,
10E8-2fH/4fL,JRFL,Georgiev et al. J Immunol 192:1100 (2014),24391217,4.99,,
10E8-2fH/4fL,KER2018_11,Georgiev et al. J Immunol 192:1100 (2014),24391217,14.9,,
10E8-2fH/4fL,PVO_4,Georgiev et al. J Immunol 192:1100 (2014),24391217,11.5,,
10E8-2fH/4fL,Q168_A2,Georgiev et al. J Immunol 192:1100 (2014),24391217,5.75,,
10E8-2fH/4fL,Q23_17,Georgiev et al. J Immunol 192:1100 (2014),24391217,7.07,,
10E8-2fH/4fL,Q769_H5,Georgiev et al. J Immunol 192:1100 (2014),24391217,37.4,,
10E8-2fH/4fL,THRO4156,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.483,,
10E8-2fH/4fL,TRJO4551_58,Georgiev et al. J Immunol 192:1100 (2014),24391217,6.42,,
10E8-2fH/4fL,TRO_11,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.15,,
10E8-2fH/4fL,YU2,Georgiev et al. J Immunol 192:1100 (2014),24391217,16.5,,
10E8-2fH/4fL,ZA012_29,Georgiev et al. J Immunol 192:1100 (2014),24391217,6.06,,
10E8-2fH/4fL,ZM106_9,Georgiev et al. J Immunol 192:1100 (2014),24391217,>50,,
10E8-2fH/4fL,ZM55_28A,Georgiev et al. J Immunol 192:1100 (2014),24391217,10.5,,
10E8/N6,0013095_2_11,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.0155,,
10E8/N6,001428_2_42,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.0676,,
10E8/N6,0260_V5_C36,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.1296,,
10E8/N6,0330_V4_C3,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.0294,,
10E8/N6,0815_V3_C3,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.2339,,
10E8/N6,1006_11_C3_1601,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.0746,,
10E8/N6,1012_11_TC21_3257,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.1597,,
10E8/N6,1054_07_TC4_1499,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.0297,,
10E8/N6,1056_10_TA11_1826,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.0001,,
10E8/N6,1394_C9G1,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.0072,,
10E8/N6,16055_2_3,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.0237,,
10E8/N6,16845_2_22,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.1135,,
10E8/N6,191084_B7_19,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.0237,,
10E8/N6,211_9,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.7426,,
10E8/N6,231965_C1,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.0431,,
10E8/N6,235_47,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.0183,,
10E8/N6,249M_B10,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.039,,
10E8/N6,263_8,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.0604,,
10E8/N6,3016_V5_C45,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.0078,,
10E8/N6,3103_V3_C10,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.0064,,
10E8/N6,3301_V1_C24,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.156,,
10E8/N6,3817_V2_C59,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.0079,,
10E8/N6,6041_V3_C23,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.0106,,
10E8/N6,620345_C1,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.0925,,
10E8/N6,62357_14_D3_4589,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.1165,,
10E8/N6,6240_08_TA5_4622,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.6112,,
10E8/N6,6244_13_B5_4567,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,1.429,,
10E8/N6,6480_V4_C25,Khan et al. J Virol. 92: e00384 (2018) - dataset 1,29976677,0.1566,,
